"Geslacht","Persoonskenmerken","Opleidingsrichting","Arbeidsmarktpositie","Peilmoment","Perioden","Mbo-schoolverlaters Totaal (aantal)","Bol voltijd (aantal)","Bbl (aantal)"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Totaal arbeidsmarktpositie","Direct na schoolverlaten","2013/'14","131.610","72.090","59.530"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Totaal arbeidsmarktpositie","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Totaal arbeidsmarktpositie","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) werk","Direct na schoolverlaten","2013/'14","92.450","44.320","48.130"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) werk","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) werk","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) uitkering","Direct na schoolverlaten","2013/'14","10.930","6.220","4.710"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met (alleen) uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk én uitkering","Direct na schoolverlaten","2013/'14","5.380","1.430","3.950"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk én uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk én uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zonder werk of uitkering","Direct na schoolverlaten","2013/'14","22.860","20.120","2.740"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zonder werk of uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zonder werk of uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk, totaal","Direct na schoolverlaten","2013/'14","97.830","45.750","52.080"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk, totaal","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met werk, totaal","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, 12 of meer uren per week","Direct na schoolverlaten","2013/'14","90.610","39.200","51.410"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, 12 of meer uren per week","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, 12 of meer uren per week","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, minder dan 12 uren per week","Direct na schoolverlaten","2013/'14","7.220","6.550","670"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, minder dan 12 uren per week","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkenden, minder dan 12 uren per week","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen)","Direct na schoolverlaten","2013/'14","95.200","44.380","50.820"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen)","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen)","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), voltijd werkzaam","Direct na schoolverlaten","2013/'14","23.420","3.370","20.050"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), voltijd werkzaam","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), voltijd werkzaam","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), deeltijd werkzaam","Direct na schoolverlaten","2013/'14","71.790","41.010","30.770"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), deeltijd werkzaam","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemers (alleen), deeltijd werkzaam","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zelfstandigen (alleen)","Direct na schoolverlaten","2013/'14","1.670","950","720"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zelfstandigen (alleen)","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Zelfstandigen (alleen)","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemer én zelfstandige","Direct na schoolverlaten","2013/'14","960","420","540"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemer én zelfstandige","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werknemer én zelfstandige","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met uitkering, totaal","Direct na schoolverlaten","2013/'14","16.310","7.650","8.660"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met uitkering, totaal","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Met uitkering, totaal","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Bijstandsuitkering","Direct na schoolverlaten","2013/'14","4.700","3.330","1.370"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Bijstandsuitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Bijstandsuitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Arbeidsongeschiktheidsuitkering","Direct na schoolverlaten","2013/'14","5.650","3.170","2.480"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Arbeidsongeschiktheidsuitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Arbeidsongeschiktheidsuitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkloosheidsuitkering","Direct na schoolverlaten","2013/'14","4.330","660","3.670"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkloosheidsuitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Werkloosheidsuitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Overige uitkeringen","Direct na schoolverlaten","2013/'14","1.220","380","840"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Overige uitkeringen","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Overige uitkeringen","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Meerdere uitkeringen","Direct na schoolverlaten","2013/'14","410","120","290"
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Meerdere uitkeringen","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Totaal opleidingsrichting en sector","Meerdere uitkeringen","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Totaal arbeidsmarktpositie","Direct na schoolverlaten","2013/'14","8.510","3.860","4.650"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Totaal arbeidsmarktpositie","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Totaal arbeidsmarktpositie","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) werk","Direct na schoolverlaten","2013/'14","5.800","2.480","3.320"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) werk","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) werk","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) uitkering","Direct na schoolverlaten","2013/'14","730","320","410"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met (alleen) uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk én uitkering","Direct na schoolverlaten","2013/'14","810","50","760"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk én uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk én uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zonder werk of uitkering","Direct na schoolverlaten","2013/'14","1.180","1.020","160"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zonder werk of uitkering","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zonder werk of uitkering","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk, totaal","Direct na schoolverlaten","2013/'14","6.610","2.530","4.080"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk, totaal","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Met werk, totaal","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, 12 of meer uren per week","Direct na schoolverlaten","2013/'14","6.150","2.130","4.020"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, 12 of meer uren per week","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, 12 of meer uren per week","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, minder dan 12 uren per week","Direct na schoolverlaten","2013/'14","460","400","60"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, minder dan 12 uren per week","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werkenden, minder dan 12 uren per week","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen)","Direct na schoolverlaten","2013/'14","6.300","2.370","3.930"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen)","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen)","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), voltijd werkzaam","Direct na schoolverlaten","2013/'14","2.070","140","1.940"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), voltijd werkzaam","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), voltijd werkzaam","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), deeltijd werkzaam","Direct na schoolverlaten","2013/'14","4.230","2.240","1.990"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), deeltijd werkzaam","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemers (alleen), deeltijd werkzaam","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zelfstandigen (alleen)","Direct na schoolverlaten","2013/'14","220","120","100"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zelfstandigen (alleen)","1 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Zelfstandigen (alleen)","2 jaar na schoolverlaten","2013/'14","","",""
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemer én zelfstandige","Direct na schoolverlaten","2013/'14","90","40","50"
"Mannen en vrouwen","Algemeen totaal","Sector landbouw","Werknemer én zelfstandige","1 jaar na schoolverlaten","2013/'14","","",""
