"Geslacht","Onderwijssoort","Bedrijstakken (SBI 2008)","Startkwalificatie op peilmoment","Peilmoment","Perioden","Alle schoolverlaters: uurloon (euro)","Zonder startkwalificatie: uurloon (euro)","Met startkwalificatie: uurloon (euro)"
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","14,00","12,37","14,47"
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","14,47","","14,47"
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","12,37","12,37",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","A-U Alle economische activiteiten","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
