"Geslacht","Leeftijd","Onderwijssoort","Uitkeringen","Startkwalificatie op peilmoment","Peilmoment","Perioden","Schoolverlaters (aantal)","Voortijdig schoolverlaters (aantal)","Schoolverlaters met startkwalificatie (aantal)"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","117.280","35.670","81.610"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","81.610","","81.610"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","35.670","35.670",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","Direct na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal","Startkwalificatie onbekend","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal met een of meerdere uitkeringen","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","4.220","2.620","1.600"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal met een of meerdere uitkeringen","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal met een of meerdere uitkeringen","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal met een of meerdere uitkeringen","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal met een of meerdere uitkeringen","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
